date,county,state,cases,deaths
2020/5/3,Autauga,Alabama,48,3
2020/5/3,Baldwin,Alabama,187,4
2020/5/3,Barbour,Alabama,45,1
2020/5/3,Bibb,Alabama,43,0
2020/5/3,Blount,Alabama,40,0
2020/5/3,Bullock,Alabama,14,0
2020/5/3,Butler,Alabama,105,1
2020/5/3,Calhoun,Alabama,105,3
2020/5/3,Chambers,Alabama,300,21
2020/5/3,Cherokee,Alabama,16,0
2020/5/3,Chilton,Alabama,57,1
2020/5/3,Choctaw,Alabama,49,0
2020/5/3,Clarke,Alabama,42,1
2020/5/3,Clay,Alabama,22,1
2020/5/3,Cleburne,Alabama,12,1
2020/5/3,Coffee,Alabama,130,0
2020/5/3,Colbert,Alabama,41,2
2020/5/3,Conecuh,Alabama,9,0
2020/5/3,Coosa,Alabama,30,1
2020/5/3,Covington,Alabama,45,1
2020/5/3,Crenshaw,Alabama,23,0
2020/5/3,Cullman,Alabama,58,0
2020/5/3,Dale,Alabama,34,0
2020/5/3,Dallas,Alabama,59,3
2020/5/3,DeKalb,Alabama,79,2
2020/5/3,Elmore,Alabama,103,2
2020/5/3,Escambia,Alabama,31,2
2020/5/3,Etowah,Alabama,143,10
2020/5/3,Fayette,Alabama,6,0
2020/5/3,Franklin,Alabama,132,0
2020/5/3,Geneva,Alabama,10,0
2020/5/3,Greene,Alabama,58,1
2020/5/3,Hale,Alabama,52,2
2020/5/3,Henry,Alabama,27,1
2020/5/3,Houston,Alabama,95,4
2020/5/3,Jackson,Alabama,50,2
2020/5/3,Jefferson,Alabama,969,48
2020/5/3,Lamar,Alabama,11,0
2020/5/3,Lauderdale,Alabama,61,2
2020/5/3,Lawrence,Alabama,14,0
2020/5/3,Lee,Alabama,400,28
2020/5/3,Limestone,Alabama,45,0
2020/5/3,Lowndes,Alabama,71,1
2020/5/3,Macon,Alabama,40,2
2020/5/3,Madison,Alabama,234,4
2020/5/3,Marengo,Alabama,58,3
2020/5/3,Marion,Alabama,83,6
2020/5/3,Marshall,Alabama,342,7
2020/5/3,Mobile,Alabama,1198,62
2020/5/3,Monroe,Alabama,13,1
2020/5/3,Montgomery,Alabama,409,7
2020/5/3,Morgan,Alabama,74,0
2020/5/3,Perry,Alabama,15,0
2020/5/3,Pickens,Alabama,55,2
2020/5/3,Pike,Alabama,75,0
2020/5/3,Randolph,Alabama,77,4
2020/5/3,Russell,Alabama,61,0
2020/5/3,Shelby,Alabama,327,13
2020/5/3,St. Clair,Alabama,76,0
2020/5/3,Sumter,Alabama,77,3
2020/5/3,Talladega,Alabama,65,2
2020/5/3,Tallapoosa,Alabama,295,18
2020/5/3,Tuscaloosa,Alabama,218,2
2020/5/3,Walker,Alabama,99,0
2020/5/3,Washington,Alabama,38,2
2020/5/3,Wilcox,Alabama,72,3
2020/5/3,Winston,Alabama,16,0
2020/5/3,Anchorage,Alaska,187,4
2020/5/3,Bethel Census Area,Alaska,1,0
2020/5/3,Fairbanks North Star Borough,Alaska,83,2
2020/5/3,Juneau City and Borough,Alaska,27,0
2020/5/3,Kenai Peninsula Borough,Alaska,21,0
2020/5/3,Ketchikan Gateway Borough,Alaska,16,0
2020/5/3,Kodiak Island Borough,Alaska,1,0
2020/5/3,Matanuska-Susitna Borough,Alaska,21,1
2020/5/3,Nome Census Area,Alaska,1,0
2020/5/3,Petersburg Borough,Alaska,3,0
2020/5/3,Prince of Wales-Hyder Census Area,Alaska,2,0
2020/5/3,Sitka City and Borough,Alaska,1,0
2020/5/3,Southeast Fairbanks Census Area,Alaska,1,0
2020/5/3,Yukon-Koyukuk Census Area,Alaska,1,0
2020/5/3,Apache,Arizona,526,6
2020/5/3,Cochise,Arizona,39,0
2020/5/3,Coconino,Arizona,527,44
2020/5/3,Gila,Arizona,14,0
2020/5/3,Graham,Arizona,18,0
2020/5/3,Greenlee,Arizona,2,0
2020/5/3,La Paz,Arizona,14,2
2020/5/3,Maricopa,Arizona,4585,168
2020/5/3,Mohave,Arizona,135,15
2020/5/3,Navajo,Arizona,777,22
2020/5/3,Pima,Arizona,1326,89
2020/5/3,Pinal,Arizona,456,13
2020/5/3,Santa Cruz,Arizona,34,0
2020/5/3,Yavapai,Arizona,89,2
2020/5/3,Yuma,Arizona,98,1
2020/5/3,Arkansas,Arkansas,3,0
2020/5/3,Ashley,Arkansas,16,0
2020/5/3,Baxter,Arkansas,5,0
2020/5/3,Benton,Arkansas,106,0
2020/5/3,Boone,Arkansas,4,0
2020/5/3,Bradley,Arkansas,11,1
2020/5/3,Carroll,Arkansas,6,0
2020/5/3,Chicot,Arkansas,9,0
2020/5/3,Clark,Arkansas,31,0
2020/5/3,Clay,Arkansas,3,0
2020/5/3,Cleburne,Arkansas,73,4
2020/5/3,Cleveland,Arkansas,11,0
2020/5/3,Columbia,Arkansas,13,2
2020/5/3,Conway,Arkansas,13,1
2020/5/3,Craighead,Arkansas,81,0
2020/5/3,Crawford,Arkansas,5,0
2020/5/3,Crittenden,Arkansas,197,5
2020/5/3,Cross,Arkansas,24,0
2020/5/3,Dallas,Arkansas,1,0
2020/5/3,Desha,Arkansas,16,0
2020/5/3,Drew,Arkansas,16,1
2020/5/3,Faulkner,Arkansas,77,2
2020/5/3,Franklin,Arkansas,2,0
2020/5/3,Fulton,Arkansas,1,0
2020/5/3,Garland,Arkansas,118,0
2020/5/3,Grant,Arkansas,14,0
2020/5/3,Greene,Arkansas,19,0
2020/5/3,Hempstead,Arkansas,6,1
2020/5/3,Hot Spring,Arkansas,20,0
2020/5/3,Howard,Arkansas,13,0
2020/5/3,Independence,Arkansas,10,0
2020/5/3,Izard,Arkansas,9,0
2020/5/3,Jackson,Arkansas,1,0
2020/5/3,Jefferson,Arkansas,184,17
2020/5/3,Johnson,Arkansas,31,0
2020/5/3,Lafayette,Arkansas,8,1
2020/5/3,Lawrence,Arkansas,66,4
2020/5/3,Lee,Arkansas,3,1
2020/5/3,Lincoln,Arkansas,822,4
2020/5/3,Logan,Arkansas,3,1
2020/5/3,Lonoke,Arkansas,43,0
2020/5/3,Madison,Arkansas,1,0
2020/5/3,Marion,Arkansas,1,0
2020/5/3,Miller,Arkansas,35,1
2020/5/3,Mississippi,Arkansas,20,0
2020/5/3,Monroe,Arkansas,4,0
2020/5/3,Montgomery,Arkansas,1,0
2020/5/3,Nevada,Arkansas,1,0
2020/5/3,Newton,Arkansas,3,0
2020/5/3,Ouachita,Arkansas,7,0
2020/5/3,Perry,Arkansas,7,0
2020/5/3,Phillips,Arkansas,6,1
2020/5/3,Pike,Arkansas,3,0
2020/5/3,Poinsett,Arkansas,23,2
2020/5/3,Polk,Arkansas,8,0
2020/5/3,Pope,Arkansas,44,0
2020/5/3,Prairie,Arkansas,2,0
2020/5/3,Pulaski,Arkansas,550,19
2020/5/3,Randolph,Arkansas,18,0
2020/5/3,Saline,Arkansas,68,1
2020/5/3,Scott,Arkansas,1,0
2020/5/3,Searcy,Arkansas,6,0
2020/5/3,Sebastian,Arkansas,13,0
2020/5/3,Sevier,Arkansas,12,1
2020/5/3,Sharp,Arkansas,9,0
2020/5/3,St. Francis,Arkansas,93,0
2020/5/3,Stone,Arkansas,8,0
2020/5/3,Union,Arkansas,60,0
2020/5/3,Unknown,Arkansas,174,0
2020/5/3,Van Buren,Arkansas,28,2
2020/5/3,Washington,Arkansas,90,3
2020/5/3,White,Arkansas,35,1
2020/5/3,Woodruff,Arkansas,1,0
2020/5/3,Yell,Arkansas,5,0
2020/5/3,Alameda,California,1770,63
2020/5/3,Alpine,California,2,0
2020/5/3,Amador,California,7,0
2020/5/3,Butte,California,17,0
2020/5/3,Calaveras,California,13,0
2020/5/3,Colusa,California,3,0
2020/5/3,Contra Costa,California,945,28
2020/5/3,Del Norte,California,3,0
2020/5/3,El Dorado,California,47,0
2020/5/3,Fresno,California,633,8
2020/5/3,Glenn,California,5,0
2020/5/3,Humboldt,California,54,0
2020/5/3,Imperial,California,358,8
2020/5/3,Inyo,California,20,1
2020/5/3,Kern,California,1007,8
2020/5/3,Kings,California,172,1
2020/5/3,Lake,California,7,0
2020/5/3,Los Angeles,California,25662,1229
2020/5/3,Madera,California,51,2
2020/5/3,Marin,California,243,13
2020/5/3,Mariposa,California,13,0
2020/5/3,Mendocino,California,12,0
2020/5/3,Merced,California,142,3
2020/5/3,Mono,California,26,1
2020/5/3,Monterey,California,225,6
2020/5/3,Napa,California,71,2
2020/5/3,Nevada,California,41,1
2020/5/3,Orange,California,2774,52
2020/5/3,Placer,California,159,8
2020/5/3,Plumas,California,4,0
2020/5/3,Riverside,California,4180,167
2020/5/3,Sacramento,California,1116,43
2020/5/3,San Benito,California,51,2
2020/5/3,San Bernardino,California,2182,99
2020/5/3,San Diego,California,3990,150
2020/5/3,San Francisco,California,1632,29
2020/5/3,San Joaquin,California,570,25
2020/5/3,San Luis Obispo,California,201,1
2020/5/3,San Mateo,California,1272,52
2020/5/3,Santa Barbara,California,514,8
2020/5/3,Santa Clara,California,2231,116
2020/5/3,Santa Cruz,California,137,2
2020/5/3,Shasta,California,31,4
2020/5/3,Siskiyou,California,5,0
2020/5/3,Solano,California,271,5
2020/5/3,Sonoma,California,257,3
2020/5/3,Stanislaus,California,411,14
2020/5/3,Sutter,California,31,2
2020/5/3,Tehama,California,1,1
2020/5/3,Tulare,California,743,40
2020/5/3,Tuolumne,California,4,0
2020/5/3,Ventura,California,566,19
2020/5/3,Yolo,California,171,18
2020/5/3,Yuba,California,19,1
2020/5/3,Adams,Colorado,1780,68
2020/5/3,Alamosa,Colorado,12,2
2020/5/3,Arapahoe,Colorado,2706,156
2020/5/3,Archuleta,Colorado,8,0
2020/5/3,Baca,Colorado,12,0
2020/5/3,Boulder,Colorado,661,44
2020/5/3,Broomfield,Colorado,165,12
2020/5/3,Chaffee,Colorado,67,15
2020/5/3,Clear Creek,Colorado,13,1
2020/5/3,Costilla,Colorado,3,0
2020/5/3,Crowley,Colorado,4,1
2020/5/3,Custer,Colorado,2,0
2020/5/3,Delta,Colorado,50,1
2020/5/3,Denver,Colorado,3345,166
2020/5/3,Douglas,Colorado,526,23
2020/5/3,Eagle,Colorado,551,7
2020/5/3,El Paso,Colorado,994,75
2020/5/3,Elbert,Colorado,31,1
2020/5/3,Fremont,Colorado,22,0
2020/5/3,Garfield,Colorado,97,2
2020/5/3,Gilpin,Colorado,1,0
2020/5/3,Grand,Colorado,5,0
2020/5/3,Gunnison,Colorado,165,5
2020/5/3,Hinsdale,Colorado,3,0
2020/5/3,Huerfano,Colorado,2,0
2020/5/3,Jefferson,Colorado,1405,83
2020/5/3,Kit Carson,Colorado,21,2
2020/5/3,La Plata,Colorado,63,0
2020/5/3,Lake,Colorado,20,0
2020/5/3,Larimer,Colorado,395,19
2020/5/3,Las Animas,Colorado,3,0
2020/5/3,Lincoln,Colorado,3,0
2020/5/3,Logan,Colorado,291,1
2020/5/3,Mesa,Colorado,47,0
2020/5/3,Mineral,Colorado,2,0
2020/5/3,Moffat,Colorado,6,0
2020/5/3,Montezuma,Colorado,17,2
2020/5/3,Montrose,Colorado,105,11
2020/5/3,Morgan,Colorado,399,20
2020/5/3,Otero,Colorado,10,1
2020/5/3,Ouray,Colorado,5,1
2020/5/3,Park,Colorado,14,0
2020/5/3,Phillips,Colorado,5,0
2020/5/3,Pitkin,Colorado,51,2
2020/5/3,Prowers,Colorado,1,0
2020/5/3,Pueblo,Colorado,158,10
2020/5/3,Rio Blanco,Colorado,1,0
2020/5/3,Rio Grande,Colorado,7,0
2020/5/3,Routt,Colorado,56,5
2020/5/3,Saguache,Colorado,3,0
2020/5/3,San Miguel,Colorado,19,0
2020/5/3,Summit,Colorado,144,2
2020/5/3,Teller,Colorado,28,2
2020/5/3,Unknown,Colorado,134,0
2020/5/3,Washington,Colorado,8,0
2020/5/3,Weld,Colorado,1872,100
2020/5/3,Yuma,Colorado,9,0
2020/5/3,Fairfield,Connecticut,11801,865
2020/5/3,Hartford,Connecticut,6112,741
2020/5/3,Litchfield,Connecticut,1036,89
2020/5/3,Middlesex,Connecticut,707,91
2020/5/3,New Haven,Connecticut,8024,565
2020/5/3,New London,Connecticut,623,43
2020/5/3,Tolland,Connecticut,461,39
2020/5/3,Unknown,Connecticut,312,1
2020/5/3,Windham,Connecticut,211,2
2020/5/3,Kent,Delaware,821,30
2020/5/3,New Castle,Delaware,1903,79
2020/5/3,Sussex,Delaware,2461,68
2020/5/3,Unknown,Delaware,23,0
2020/5/3,District of Columbia,District of Columbia,5016,251
2020/5/3,Alachua,Florida,286,5
2020/5/3,Baker,Florida,22,3
2020/5/3,Bay,Florida,76,3
2020/5/3,Bradford,Florida,48,2
2020/5/3,Brevard,Florida,308,8
2020/5/3,Broward,Florida,5312,207
2020/5/3,Calhoun,Florida,15,0
2020/5/3,Charlotte,Florida,249,25
2020/5/3,Citrus,Florida,99,11
2020/5/3,Clay,Florida,279,18
2020/5/3,Collier,Florida,640,21
2020/5/3,Columbia,Florida,92,2
2020/5/3,DeSoto,Florida,32,4
2020/5/3,Dixie,Florida,9,0
2020/5/3,Duval,Florida,1045,24
2020/5/3,Escambia,Florida,593,13
2020/5/3,Flagler,Florida,140,3
2020/5/3,Franklin,Florida,2,0
2020/5/3,Gadsden,Florida,106,0
2020/5/3,Gilchrist,Florida,6,0
2020/5/3,Glades,Florida,6,1
2020/5/3,Gulf,Florida,1,0
2020/5/3,Hamilton,Florida,7,0
2020/5/3,Hardee,Florida,32,0
2020/5/3,Hendry,Florida,101,4
2020/5/3,Hernando,Florida,94,5
2020/5/3,Highlands,Florida,85,7
2020/5/3,Hillsborough,Florida,1281,27
2020/5/3,Holmes,Florida,10,0
2020/5/3,Indian River,Florida,97,8
2020/5/3,Jackson,Florida,15,0
2020/5/3,Jefferson,Florida,28,2
2020/5/3,Lafayette,Florida,2,0
2020/5/3,Lake,Florida,234,13
2020/5/3,Lee,Florida,1117,45
2020/5/3,Leon,Florida,233,4
2020/5/3,Levy,Florida,19,0
2020/5/3,Liberty,Florida,60,0
2020/5/3,Madison,Florida,60,2
2020/5/3,Manatee,Florida,619,59
2020/5/3,Marion,Florida,184,5
2020/5/3,Martin,Florida,202,6
2020/5/3,Miami-Dade,Florida,12774,369
2020/5/3,Monroe,Florida,80,3
2020/5/3,Nassau,Florida,59,1
2020/5/3,Okaloosa,Florida,159,5
2020/5/3,Okeechobee,Florida,14,0
2020/5/3,Orange,Florida,1433,34
2020/5/3,Osceola,Florida,509,8
2020/5/3,Palm Beach,Florida,3128,196
2020/5/3,Pasco,Florida,278,8
2020/5/3,Pinellas,Florida,766,41
2020/5/3,Polk,Florida,523,26
2020/5/3,Putnam,Florida,120,2
2020/5/3,Santa Rosa,Florida,157,8
2020/5/3,Sarasota,Florida,377,47
2020/5/3,Seminole,Florida,394,8
2020/5/3,St. Johns,Florida,211,4
2020/5/3,St. Lucie,Florida,257,24
2020/5/3,Sumter,Florida,226,14
2020/5/3,Suwannee,Florida,141,16
2020/5/3,Taylor,Florida,3,0
2020/5/3,Union,Florida,5,0
2020/5/3,Unknown,Florida,12,0
2020/5/3,Volusia,Florida,513,26
2020/5/3,Wakulla,Florida,24,1
2020/5/3,Walton,Florida,49,0
2020/5/3,Washington,Florida,12,0
2020/5/3,Appling,Georgia,72,5
2020/5/3,Atkinson,Georgia,11,1
2020/5/3,Bacon,Georgia,27,1
2020/5/3,Baker,Georgia,23,2
2020/5/3,Baldwin,Georgia,233,8
2020/5/3,Banks,Georgia,31,0
2020/5/3,Barrow,Georgia,159,4
2020/5/3,Bartow,Georgia,325,31
2020/5/3,Ben Hill,Georgia,29,0
2020/5/3,Berrien,Georgia,17,0
2020/5/3,Bibb,Georgia,324,11
2020/5/3,Bleckley,Georgia,20,0
2020/5/3,Brantley,Georgia,22,2
2020/5/3,Brooks,Georgia,60,6
2020/5/3,Bryan,Georgia,54,3
2020/5/3,Bulloch,Georgia,42,2
2020/5/3,Burke,Georgia,86,3
2020/5/3,Butts,Georgia,150,16
2020/5/3,Calhoun,Georgia,107,4
2020/5/3,Camden,Georgia,35,1
2020/5/3,Candler,Georgia,7,0
2020/5/3,Carroll,Georgia,386,14
2020/5/3,Catoosa,Georgia,46,0
2020/5/3,Charlton,Georgia,12,0
2020/5/3,Chatham,Georgia,237,9
2020/5/3,Chattahoochee,Georgia,13,0
2020/5/3,Chattooga,Georgia,15,2
2020/5/3,Cherokee,Georgia,491,13
2020/5/3,Clarke,Georgia,156,13
2020/5/3,Clay,Georgia,25,3
2020/5/3,Clayton,Georgia,793,33
2020/5/3,Clinch,Georgia,9,0
2020/5/3,Cobb,Georgia,1768,97
2020/5/3,Coffee,Georgia,146,7
2020/5/3,Colquitt,Georgia,188,10
2020/5/3,Columbia,Georgia,164,4
2020/5/3,Cook,Georgia,28,1
2020/5/3,Coweta,Georgia,230,4
2020/5/3,Crawford,Georgia,18,0
